"","Titans","Giants","Steelers","Panthers","Ravens","Buccaneers","Colts","Vikings","Cardinals","Cowboys","Falcons","Jets","Broncos","Dolphins","Eagles","Bears","Patriots","Redskins","Packers","Chargers","Saints","Texans","Bills","Forty-Niners","Jaguars","Browns","Raiders","Chiefs","Rams","Seahawks","Bengals","Lions"
"Falcons",344.066965784831,1202.43739725496,839.042093417821,363.82320317874,926.658957948881,667.872084728251,685.622954534199,1459.16749823465,2571.37443546169,1184.75487797773,0,1202.43739725496,1948.45923748345,955.393197722306,1067.57884308999,944.23806102599,1475.63682592875,884.682774761713,1235.32062443676,3030.95597887498,683.161930199881,1134.74540333068,1115.27049524228,3433.0540754687,462.152301927455,893.685111250674,3416.48488888615,1076.21117037472,750.405758685375,3503.85537157388,593.628499798707,961.645273525208
"Jets",1218.05967544394,0,502.719424066342,858.625021509887,275.778517679226,1621.3116253632,1031.04851842996,1625.21497785473,3450.13175693536,2228.62079645105,1202.43739725496,0,2614.01636542762,1746.75530794025,137.141842708282,1135.23333053435,274.141928433132,318.490646610625,1213.10009399285,3894.25471234186,1882.36710609515,2289.09021817842,447.158906224935,4120.64139744673,1350.62722525828,642.570848810175,4103.88811459251,1747.05324243541,1397.00527296553,3855.18626187781,909.450746763355,764.74710613055
"Broncos",1645.4861922566,2614.01636542762,2121.22378885765,2183.52209104255,2426.43139208346,2445.75264735183,1609.0110584597,1126.25023534579,945.571560221073,1052.92063057386,1948.45923748345,2614.01636542762,0,2761.38601914589,2537.51502987339,1481.01255511937,2829.81746940309,2413.62207453712,1491.83838968629,1330.62152829319,1740.57549179103,1420.239040769,2209.3813801248,1520.7810466577,2362.90268503582,1971.84905918086,1503.94403737352,908.110098204603,1282.71524070714,1637.83463798783,1758.92828181728,1860.01799724406
"Dolphins",1293.61492657059,1746.75530794025,1611.22056333138,1032.20932234773,1518.96545189707,317.346728510619,1630.40967633742,2413.87805846059,3190.19022808878,1796.52731395081,955.393197722306,1746.75530794025,2761.38601914589,0,1620.22880526199,1893.10612392058,1972.55416776173,1474.0380518484,2178.3388521768,3634.48013418869,1063.25941587276,1547.14444738887,1874.49433573266,4151.43796947551,504.454950197039,1734.06329102814,4135.65771078623,1970.67056689986,1688.94457642429,4376.99970723939,1514.33920782554,1839.54765363694
"Eagles",1096.76595078347,137.141842708282,416.321946093435,721.725233823619,142.642265184533,1487.31359267543,938.531646836483,1583.91264018262,3356.444126615,2112.10956014898,1067.57884308999,137.141842708282,2537.51502987339,1620.22880526199,0,1068.06977457402,408.104410083361,182.898832184278,1177.13001244406,3803.88017999923,1748.6744728586,2161.86505638873,439.654877763817,4050.82005446787,1215.81897554191,578.665784909624,4034.02248219507,1657.44621258838,1299.23524498359,3821.93302029298,806.742247093667,713.150305978463
"Bears",637.536347594811,1135.23333053435,655.297886659169,943.031815059268,971.22846201614,1612.10762832134,263.796177906054,571.885118809912,2347.49033941542,1313.37942637117,944.23806102599,1135.23333053435,1481.01255511937,1893.10612392058,1068.06977457402,0,1349.92890267882,967.306011023338,295.656823258408,2780.27005036366,1342.78626832271,1524.12101630064,732.665236910933,2985.65852360463,1390.01011039661,492.86882580574,2968.89370036943,659.613476352131,420.171056260117,2790.54541418379,404.204782098955,380.783689184516
"Patriots",1487.94781910506,274.141928433132,753.534613213916,1128.20734820158,549.349460806146,1869.82077557865,1276.56039020332,1795.96462904244,3687.47852144032,2493.46897080862,1475.63682592875,274.141928433132,2829.81746940309,1972.55416776173,408.104410083361,1349.92890267882,0,590.970651357002,1382.99701219376,4126.5584478146,2156.2408478827,2561.80357826732,621.821171660586,4322.82116702988,1602.92512452119,866.926661305985,4306.16646343913,1983.8377469666,1645.10996509029,3998.52162555155,1166.03385619965,969.86376352346
"Redskins",924.564754965981,318.490646610625,319.37347599742,541.020813871158,46.1566568260912,1322.62038952765,805.012895628404,1510.6361214949,3210.65311720408,1942.88346256789,884.682774761713,318.490646610625,2413.62207453712,1474.0380518484,182.898832184278,967.306011023338,590.970651357002,0,1116.89604092946,3661.38779415199,1565.89443635372,1982.73212413254,459.261620062532,3932.20226816498,1049.22797174672,501.93131390054,3915.37282887043,1520.74509834438,1154.49721870697,3749.15251143857,661.323139815788,646.105472671608
"Packers",933.193160726584,1213.10009399285,798.624376337375,1199.83716849892,1109.299750099,1902.7581502222,549.909451379644,413.682016401453,2407.23456240179,1522.07445731094,1235.32062443676,1213.10009399285,1491.83838968629,2178.3388521768,1177.13001244406,295.656823258408,1382.99701219376,1116.89604092946,0,2819.15693668384,1627.63022786442,1769.89047189234,770.255847711214,2949.47935562921,1674.07376467819,615.042783976166,2932.96424164382,806.417556757695,676.013441790249,2645.11369031536,668.959958948757,470.919889334183
"Chargers",2795.74802811386,3894.25471234186,3392.60452716929,3335.61248368017,3681.00428418656,3348.31666914914,2865.5786289692,2455.95822403575,459.607722581244,1869.75094452147,3030.95597887498,3894.25471234186,1330.62152829319,3634.48013418869,3803.88017999923,2780.27005036366,4126.5584478146,3661.38779415199,2819.15693668384,0,2579.29375545904,2088.73234691231,3512.89116096429,727.246368893372,3357.59784603244,3260.09462712259,719.47060016449,2147.36068328683,2507.02618227062,1704.46510598501,3000.6907571614,3160.83551321786
